path,width,height,sha256
assets/minecraft/textures/block/birch_door_bottom.png,16,16,191f6a0d15f3c362e8f99f38b52d1a027a9c8bf261c8f630abef0e11b2f979e0
assets/minecraft/textures/block/birch_door_top.png,16,16,b979ba56424f89272bf7062390c1eeb314b012f277604299fadb686d12d51eb0
assets/minecraft/textures/block/birch_leaves.png,16,16,35eeff8cb64529c4bc2ee7b2dc2f40ebb8c06328408fd8cd42d9ff5052b0800b
assets/minecraft/textures/block/birch_log.png,16,16,8948d66dc6b6a3ca57c43258a046318ba4e65ae33c4f25fd467663b0e4589750
assets/minecraft/textures/block/birch_log_top.png,16,16,3a898e3d40185e13c5c953ce33f0c5c110bcf4058ddcf882d12255d059184c1e
assets/minecraft/textures/block/birch_planks.png,16,16,276cd545da8d5d492a73927ab2a9c24463d223b29db15745eaad4dfa4fb61cda
assets/minecraft/textures/block/birch_sapling.png,16,16,65c1a0673b3365b7afb7784d8621dd8bdba11bb4e091982ccf641626b4c6c96d
assets/minecraft/textures/block/birch_trapdoor.png,16,16,ad5039760b77fec3107faaa859677cd23e071650cf33f48e1de77a1640f21a50
assets/minecraft/textures/block/black_candle.png,16,16,02020fd322e0545f4b07193f48c875953ce069a27d0241ffab4b07d139de5489
assets/minecraft/textures/block/black_candle_lit.png,16,16,a3909c8162397a2789ecf06166a856d7bcad67edb4cb75ba843154659ade6b44
assets/minecraft/textures/block/black_concrete.png,16,16,0a8c4040c07df8e28a9365120bf1450fbd618a190875af2f4e045fb5c513f7bd
assets/minecraft/textures/block/black_concrete_powder.png,16,16,b7811e5cf02e21e902ae729fa54bd62cd0ed98e46e1198468310626f39921eb4
assets/minecraft/textures/block/black_glazed_terracotta.png,16,16,86a500ac9159f8d098f370b2bf7d91b4a5a06cb48c2795c76134db45c89db095
assets/minecraft/textures/block/black_shulker_box.png,16,16,7c9d2e619bbc51b59a91d8149b78c670207a209a1a0ff6485e19a2b3bc7ec758
assets/minecraft/textures/block/black_stained_glass.png,16,16,c05b4138b96551d63357ec3845911ef3848cbbd76957ac1aa1ae4003b113c75f
assets/minecraft/textures/block/black_stained_glass_pane_top.png,16,16,69c870dcf258cf38c9c5074fce0d7f0d50b57c52a176734505adbe32dc3cb705
assets/minecraft/textures/block/black_terracotta.png,16,16,3b4b01917f16c3af5a7c987507e7867483791295377eab3a40070cbd55b1e624
assets/minecraft/textures/block/black_wool.png,16,16,2a363d514416096d2d1f210caaab5dbf350a9d98e9a277d43b30abb800cd0434
assets/minecraft/textures/block/blackstone.png,16,16,68e0434e86db5438da64f0dafbe01738fd867b140a2dea060ad25828aa814951
assets/minecraft/textures/block/blackstone_top.png,16,16,1e896e9595df4e7b08106c432d1eb0fe89cd5266aaef02d220f70b4fb1915047
assets/minecraft/textures/block/blast_furnace_front.png,16,16,0a56e82dbfd44b2f48de6343159f86f1d4215722b72843ea64971a47030bd62e
assets/minecraft/textures/block/blast_furnace_front_on.png,16,32,844befde6574d563088bea16868153a897dbf6a0b348968e0c772cd47c724101
assets/minecraft/textures/block/blast_furnace_side.png,16,16,3330fe1de83a9a7ed58d871fa22c7e731ee81950341accc3aace787b82ca4e13
assets/minecraft/textures/block/blast_furnace_top.png,16,16,acbde30d4bc73e62b9f5ea871c78c3f50c4210d1833b8c22aab4a2af63b32e85
assets/minecraft/textures/block/blue_candle.png,16,16,3039e6bcdc7f3342d9293765ea9f1fefab91ea251f40747fd298102c0cd3b740
assets/minecraft/textures/block/blue_candle_lit.png,16,16,7e922d0460b370fb409f4f3adf2a1636bfa11032b6557a8293f8db40539bd01d
assets/minecraft/textures/block/blue_concrete.png,16,16,dff3ff6a9068ed9fb782042c17d600361ff47d919745ce765addd00f5e9b9e75
assets/minecraft/textures/block/blue_concrete_powder.png,16,16,45cac30cee63a9d701887e7e978ae0a65a5a18008c326b57b84d8955e62d60b1
assets/minecraft/textures/block/blue_glazed_terracotta.png,16,16,7b22b20d7df5084343ec9863eb1054e4940550f74ef3e47838104e75c698eb61
assets/minecraft/textures/block/blue_ice.png,16,16,78f255b11a28e2d1c8cee128fcdbe57f3e75d2d563336586329fce21aeee020b
assets/minecraft/textures/block/blue_orchid.png,16,16,3f02264d40c07279ba0d4b838908c445f46b41fc5a22133159414fb6785fe853
assets/minecraft/textures/block/blue_shulker_box.png,16,16,bd3735a88e362e4ff1cb98dfd2a6ee5c2229987b6cf97e2a61cca51e66c922bb
assets/minecraft/textures/block/blue_stained_glass.png,16,16,7e5a10997341d041c091cd6bd7fdc150a18e510075bf2803d79540bd8c620290
assets/minecraft/textures/block/blue_stained_glass_pane_top.png,16,16,fc7facf745b2cd5dbdcf45bc5e001c8f725e37986fb893a1d73a4d6f9e24e1bf
assets/minecraft/textures/block/blue_terracotta.png,16,16,793604d49d52bf7a7bfa44b7f37479cf4a945be1d8b12a7cf57ed67149e67bbb
assets/minecraft/textures/block/blue_wool.png,16,16,18aca7531e78d12b8cf9c1c6828dbbc0ba746f811ff964fe5273955677cbb516
assets/minecraft/textures/block/bone_block_side.png,16,16,369406ab7fac0ccdb128e2cc0f41fc78183ae9a3f5b35f1300fa3e02579964c8
assets/minecraft/textures/block/bone_block_top.png,16,16,40656c8d258281ffe9a62e6d103634a6d18ea20a4142ea6cc5fd83796fd844d0
assets/minecraft/textures/block/bookshelf.png,16,16,614156e22b83b1b55b84c668a9f7fbd3e730fdc906730f10fed481a3a635c11a
assets/minecraft/textures/block/brain_coral.png,16,16,a9e6db55c1f350df94faf9437b84761c6a7b6d4acef6e216ec84c8dd542ee302
assets/minecraft/textures/block/brain_coral_block.png,16,16,3c0415c9e382db37be25e8ae7f7e2fc2796ca73dc50bddb54454aec4ba729430
assets/minecraft/textures/block/brain_coral_fan.png,16,16,ca09b4daab100f31a45ce681848966185e4baa0e758dd3bd5f191a3b0ca99440
assets/minecraft/textures/block/brewing_stand.png,16,16,a37eaf14a456715c3c29537245d7d8d7ba0712e3425d4119a9d02e23a30745fb
